store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
2691459689526788096,0,0,11,60,7,59
793164766724161539,60,23,84,0,0,0
2979399194637860877,60,17,117,0,0,8
1256914181983141904,60,11,81,0,0,0
5596533644132483096,60,11,77,0,0,0
8386127488995557401,60,23,164,0,0,0
7331476672292782107,60,7,65,0,0,0
3666676318593941536,0,0,0,60,9,63
1325268203883560998,0,0,23,60,11,65
8104581577381117993,60,17,125,0,0,0
38331274599366702,60,12,89,0,0,0
438929057420935215,60,10,73,0,0,0
8696660804157243435,60,13,83,0,0,10
1000385412041408565,60,9,56,0,0,13
3160990068346781748,60,23,167,0,0,0
1505046286008156215,60,10,26,0,0,54
8683595242752311353,60,23,94,0,0,3
1253356761818562621,60,11,82,0,0,0
195360898806120509,60,23,167,0,0,0
3175406115748970560,60,23,59,0,0,40
1476406671101886529,60,13,94,0,0,0
8832246635563778113,60,14,86,0,0,0
752242078435672140,60,16,112,0,0,0
4910683290403700812,60,4,78,0,0,0
3297850817155956815,60,11,77,0,0,0
7091362345687318611,60,12,84,0,0,0
1817418090065887322,60,14,90,0,0,0
369417709220692060,0,0,10,60,10,62
1585657235768639585,60,8,56,0,0,0
2044382177513504874,60,12,105,0,0,0
2046507257744621680,60,15,74,0,0,42
4019015599526412406,60,23,103,0,0,0
7494741768470986869,60,11,80,0,0,0
6620071803741044856,60,9,59,0,0,3
3639357247132139641,60,10,21,0,0,36
7146859192891703417,60,9,109,0,0,1
4490551457763033210,60,16,112,0,0,0
3663017609970385017,0,0,12,60,12,72
1298580698756743295,60,17,125,0,0,0
6682001952313507975,60,11,96,0,0,0
7003649883691974790,0,0,6,60,6,76
8089520875431100552,60,10,70,0,0,0
6618798956345131149,60,17,125,0,0,0
5067231684238147727,60,19,134,0,0,0
6343940791149527184,60,9,68,0,0,0
7555752115160416405,60,23,97,0,0,0
8537357353468428438,60,7,49,0,0,0
7077685785414500502,60,11,74,0,0,0
3924051146992189595,60,9,69,0,0,0
6459105998082179230,60,4,18,0,0,34
7381287883989188770,60,6,41,0,0,0
1898198222319616166,60,12,82,0,0,1
1966199464131461288,60,10,38,0,0,29
90748735992987823,60,14,98,0,0,6
4870843311978545325,60,15,42,0,0,62
5668663208996864175,60,9,68,0,0,0
7629733927616020663,60,23,59,0,0,0
3573155843757408442,60,11,77,0,0,0
6344665997186662591,60,3,71,0,0,0
6145374363035992256,60,5,55,0,0,0
4131954362597736646,60,17,130,0,0,0
7330718027186438340,60,6,61,0,0,0
8824851369659007175,60,13,91,0,0,0
3925478585414123722,60,10,61,0,0,8
8294328856898142418,60,20,146,0,0,0
9117779094872096979,60,10,88,0,0,0
6969870054014255314,60,10,70,0,0,0
3349374025529884886,60,12,84,0,0,0
8633984551266812130,60,12,85,0,0,0
2844028874608509157,60,23,62,0,0,14
718883255688102120,60,23,167,0,0,0
2523206980259152104,60,9,56,0,0,0
5161136066893185258,60,10,73,0,0,0
4811151405488570604,60,11,76,0,0,0
37902066963120367,60,13,91,0,0,0
188983528751923443,60,5,35,0,0,0
5405685504143655155,60,10,48,0,0,23
3071923573338898676,60,23,86,0,0,0
1109260002004467961,60,15,95,0,0,0
6435811334254592249,60,14,88,0,0,0
7788784068052975867,0,1,19,60,16,102
1380805131866505470,60,11,81,0,0,4
8701353007547646205,60,4,44,0,0,0
150190987832295679,60,23,86,0,0,0
4735483692336120064,60,10,88,0,0,0
4619198948807278851,60,6,83,0,0,0
251178014192795913,60,9,63,0,0,0
8726111341935591690,0,0,11,60,11,66
4545582439998947598,0,0,23,60,5,47
5578288353274200337,60,23,85,0,0,0
3098925642733977878,60,9,60,0,0,2
3677644155010056474,60,23,64,0,0,80
3931626460410511643,0,0,0,60,9,63
5474469324330991900,60,23,44,0,0,100
8322632378735264032,60,13,91,0,0,0
7924710911256592678,60,9,52,0,0,22
6393515846583025960,60,13,92,0,0,0
4134847630144995626,60,18,132,0,0,0
4751975018128474410,60,9,73,0,0,0
8377752272796909866,60,11,74,0,0,0
703853790351098156,60,14,101,0,0,0
1644901640452276527,0,5,15,60,18,68
3543213486418919755,60,5,61,0,0,0
3200040790050275663,60,9,50,0,0,26
7481642173604987217,60,10,81,0,0,0
2810290175073288531,60,17,125,0,0,0
3078545593976422744,60,3,98,0,0,0
2041540173433176415,60,17,130,0,0,0
1091310099317588321,60,16,109,0,0,0
6920052832304726372,60,8,16,0,0,39
2534047405299663210,60,8,61,0,0,0
4609967034899071339,60,6,58,0,0,3
556794545452417388,0,0,0,60,2,14
5268477684210860397,60,12,81,0,0,0
8596104727907893615,0,0,0,60,17,125
1860423567555297653,60,10,73,0,0,0
8491639058823053685,60,11,83,0,0,0
728247202950939003,60,14,24,0,0,77
3199288788810367360,60,11,77,0,0,0
1281520463164440962,60,23,95,0,0,0
6189768128772440449,60,9,68,0,0,0
522491145885155717,60,14,58,0,0,31
5613997515443536260,60,9,43,0,0,0
6027445104242295174,60,9,66,0,0,0
7139454989915128202,60,17,125,0,0,0
5075854033173152144,60,17,117,0,0,8
7792588807565640085,60,11,26,0,0,57
